maskapai,asal,tujuan,tahun,penumpang,harga
water asia,CGK,DPS,2015,68,1189263
country link,BTO,DPS,2015,197,3924975
country link,BTO,BTH,2015,96,1787271
macan,KNO,DPS,2016,190,3768319
water asia,BDO,DPS,2015,175,3434874
mataram,PKU,PDG,2014,163,3189367
mataram,BDO,UPG,2017,116,2182120
water asia,PKU,BTH,2015,143,2766576
water asia,KNO,UPG,2015,132,2542629
country link,PKU,SRG,2014,124,2375321
macan,BTO,UPG,2014,167,3273593
mataram,BDO,SRG,2014,142,2737602
rajawali,JOG,PDG,2014,101,1878382
rajawali,CGK,UPG,2015,193,3842012
country link,JOG,DPS,2015,97,1817229
country link,BDO,SRG,2017,79,1098579
macan,KNO,UPG,2015,107,2003494
water asia,CGK,UPG,2017,195,3883315
country link,KNO,PDG,2014,117,2206484
mataram,KNO,DPS,2015,101,1878492
country link,BDO,BTH,2015,105,1970275
water asia,CGK,HLP,2016,150,2902005
mataram,BDO,HLP,2015,107,2008141
macan,BTO,HLP,2017,67,1179898
water asia,CGK,SRG,2014,132,2527045
macan,BDO,UPG,2016,180,3368922
mataram,BTO,BTH,2017,125,2383160
rajawali,PKU,UPG,2015,122,2326158
country link,BTO,HLP,2014,79,1440877
mataram,JOG,SRG,2015,177,3477593
macan,BTO,HLP,2017,68,1205626
macan,KNO,BTH,2016,171,3350369
country link,JOG,SRG,2015,155,3010962
country link,CGK,SRG,2014,193,3831874
macan,PKU,UPG,2017,96,1783746
mataram,CGK,BTH,2014,166,3238759
water asia,PKU,UPG,2016,161,3133984
mataram,PKU,PDG,2017,183,3603933
rajawali,BTO,PDG,2015,177,3474804
macan,CGK,HLP,2016,186,3668909
rajawali,KNO,BTH,2015,135,2598034
mataram,BDO,HLP,2014,108,2021110
country link,PKU,DPS,2017,129,2466602
mataram,BTO,SRG,2016,194,3844287
water asia,BDO,BTH,2015,182,3581316
country link,BDO,SRG,2016,144,2784045
rajawali,JOG,DPS,2016,145,3276404
country link,BDO,DPS,2014,121,2299263
macan,BTO,HLP,2016,72,1289813
macan,JOG,PDG,2014,166,3234476
macan,BTO,HLP,2014,125,2385419
rajawali,BDO,UPG,2017,163,3188255
water asia,CGK,SRG,2014,147,2852017
country link,BDO,UPG,2014,188,3726591
mataram,KNO,BTH,2014,86,1576072
water asia,BDO,PDG,2016,134,2576623
macan,JOG,PDG,2017,169,3320249
rajawali,KNO,SRG,2017,143,2762867
mataram,JOG,BTH,2016,71,1265235
macan,BTO,UPG,2015,149,2876613
macan,CGK,PDG,2016,100,1870955
country link,JOG,SRG,2016,175,3435633
country link,JOG,BTH,2016,90,1661749
country link,CGK,DPS,2017,102,1911313
country link,CGK,PDG,2017,66,1154939
rajawali,PKU,DPS,2014,193,3832271
rajawali,JOG,HLP,2017,183,3614646
water asia,BDO,SRG,2014,139,2685866
mataram,JOG,SRG,2016,177,3471002
rajawali,KNO,PDG,2016,79,1428660
rajawali,PKU,SRG,2014,96,1783649
rajawali,PKU,UPG,2014,89,1627184
rajawali,CGK,BTH,2015,95,1761612
macan,BDO,SRG,2017,122,2326559
water asia,JOG,PDG,2015,67,1169970
country link,PKU,UPG,2014,167,3270709
mataram,PKU,UPG,2015,174,3422020
mataram,KNO,HLP,2014,62,1044287
mataram,JOG,HLP,2014,88,1608520
mataram,CGK,HLP,2017,194,3856338
rajawali,JOG,PDG,2016,64,1112314
rajawali,KNO,DPS,2017,166,3252186
water asia,KNO,HLP,2016,77,1315373
macan,PKU,UPG,2016,97,1806281
country link,KNO,HLP,2014,130,2491912
rajawali,JOG,PDG,2015,195,3872184
country link,KNO,BTH,2014,82,1489204
water asia,CGK,BTH,2015,65,1132526
macan,BTO,HLP,2016,61,1030334
country link,JOG,HLP,2016,169,3314716
rajawali,BTO,BTH,2016,109,2050929
water asia,KNO,BTH,2014,163,3185339
macan,PKU,HLP,2015,193,3832150
water asia,BTO,SRG,2015,95,1773262
mataram,CGK,HLP,2015,82,2424618
water asia,BTO,UPG,2016,161,3143078
water asia,PKU,HLP,2017,126,2410964
water asia,PKU,PDG,2015,65,1134880
water asia,CGK,PDG,2016,120,2278467
water asia,KNO,UPG,2017,115,2170802
mataram,KNO,DPS,2016,152,2942147
water asia,KNO,SRG,2017,69,1223217
country link,JOG,DPS,2017,195,3876576
country link,CGK,SRG,2016,131,2521308
rajawali,BDO,SRG,2017,72,1289322
water asia,JOG,HLP,2015,148,2860384
macan,BDO,PDG,2015,66,1164655
mataram,KNO,DPS,2014,82,1489985
rajawali,JOG,BTH,2015,135,2583357
macan,BDO,BTH,2017,114,2155939
rajawali,CGK,SRG,2016,152,2954419
macan,KNO,DPS,2016,81,1471542
water asia,KNO,DPS,2015,192,3815154
water asia,PKU,UPG,2015,82,1484180
country link,CGK,BTH,2014,100,1864135
country link,KNO,PDG,2015,119,2250383
water asia,JOG,SRG,2015,94,1739707
rajawali,PKU,PDG,2017,80,1452327
macan,BDO,UPG,2015,190,3764762
mataram,BTO,PDG,2015,94,1745019
water asia,KNO,BTH,2014,199,3960336
mataram,PKU,DPS,2016,157,3051198
water asia,BDO,PDG,2017,121,2304161
macan,KNO,SRG,2016,81,1476413
country link,PKU,SRG,2016,197,3918044
mataram,JOG,UPG,2014,133,2542896
mataram,KNO,SRG,2014,156,3032186
water asia,KNO,BTH,2016,60,1008914
rajawali,PKU,HLP,2016,143,2771075
water asia,KNO,HLP,2017,184,3631985
macan,KNO,UPG,2016,200,3989862
mataram,CGK,BTH,2015,149,2892326
mataram,BTO,HLP,2015,85,1559331
rajawali,CGK,DPS,2014,185,3653438
country link,CGK,HLP,2014,113,2135197
country link,BTO,BTH,2014,120,2283808
mataram,CGK,BTH,2016,150,2896668
water asia,CGK,SRG,2016,175,3439602
country link,BTO,HLP,2017,166,3247808
mataram,BTO,UPG,2017,134,2569641
country link,CGK,BTH,2016,136,2605420
macan,JOG,UPG,2016,176,3456063
water asia,BTO,UPG,2017,82,1497871
mataram,BDO,HLP,2017,62,1038667
macan,BDO,HLP,2015,160,3116345
mataram,CGK,PDG,2017,138,2652817
rajawali,CGK,SRG,2014,122,2326031
water asia,BDO,PDG,2014,78,2946527
water asia,KNO,UPG,2017,193,3836811
rajawali,JOG,DPS,2017,94,1740550
country link,KNO,BTH,2014,190,3769134
mataram,JOG,HLP,2017,192,3807375
rajawali,CGK,HLP,2017,174,3413153
macan,KNO,UPG,2014,80,1448030
country link,JOG,SRG,2014,112,2109907
water asia,CGK,BTH,2014,194,3850450
country link,PKU,HLP,2016,113,2127015
macan,KNO,UPG,2016,68,1195069
water asia,PKU,BTH,2017,107,1992621
mataram,BTO,DPS,2016,187,3692783
country link,BTO,SRG,2017,179,3530166
macan,KNO,PDG,2014,88,1614035
rajawali,BTO,BTH,2014,152,2955102
water asia,CGK,BTH,2015,121,2312846
water asia,KNO,HLP,2015,104,1944104
country link,JOG,DPS,2014,77,1384823
mataram,BDO,BTH,2016,88,1610491
water asia,BDO,SRG,2016,80,1454170
macan,BTO,HLP,2015,177,3481198
mataram,BDO,DPS,2015,168,3302812
country link,KNO,SRG,2016,155,3024591
mataram,PKU,UPG,2017,186,2928897
mataram,JOG,DPS,2016,78,1400551
mataram,JOG,BTH,2015,193,3835743
mataram,CGK,BTH,2014,159,3089473
rajawali,BDO,DPS,2017,195,3881659
rajawali,BDO,SRG,2015,112,2109390
macan,BDO,HLP,2016,103,1930600
macan,JOG,DPS,2015,70,1245440
macan,PKU,PDG,2017,180,3546549
rajawali,JOG,UPG,2017,198,3939196
country link,JOG,PDG,2017,154,2992652
country link,JOG,UPG,2017,77,1390435
macan,KNO,DPS,2016,116,2189497
macan,PKU,DPS,2015,178,3489082
country link,CGK,UPG,2015,174,3407190
water asia,KNO,UPG,2016,75,1362118
water asia,CGK,SRG,2014,113,2131843
country link,BTO,PDG,2015,68,1191335
country link,CGK,HLP,2014,81,1464263
water asia,CGK,SRG,2014,75,1359871
macan,PKU,SRG,2015,64,1117868
country link,BDO,DPS,2014,152,2961883
macan,JOG,DPS,2016,137,2643694
mataram,CGK,HLP,2017,106,1978859
mataram,CGK,HLP,2015,127,2430501
macan,KNO,PDG,2015,71,1260129
mataram,CGK,BTH,2015,103,1930999
rajawali,BTO,UPG,2014,151,2932571
water asia,CGK,SRG,2016,90,1656936
rajawali,JOG,BTH,2015,187,3705448
country link,KNO,BTH,2014,107,2019542
mataram,BTO,DPS,2017,190,3767212
water asia,BTO,HLP,2016,130,3532109
macan,CGK,BTH,2017,93,1723715
water asia,BDO,PDG,2015,186,3671412
macan,BDO,PDG,2014,126,2414587
rajawali,JOG,UPG,2016,90,1655594
macan,BDO,HLP,2017,195,3883643
water asia,JOG,PDG,2017,152,2942427
country link,PKU,UPG,2017,154,3001465
rajawali,KNO,HLP,2014,155,3014085
country link,BDO,SRG,2017,94,1750525
rajawali,PKU,HLP,2014,189,3756277
rajawali,CGK,DPS,2014,178,3498982
water asia,JOG,DPS,2014,72,1283909
mataram,PKU,HLP,2015,154,2999047
country link,KNO,PDG,2017,195,3868519
water asia,KNO,UPG,2016,69,1215103
rajawali,JOG,PDG,2017,61,1027524
macan,BDO,DPS,2014,163,3185678
country link,PKU,PDG,2016,142,2745619
mataram,CGK,BTH,2015,155,3012936
country link,PKU,DPS,2014,88,1618596
rajawali,BTO,HLP,2016,113,2130054
macan,JOG,BTH,2014,151,2916964
country link,JOG,SRG,2016,60,1009556
mataram,CGK,DPS,2016,188,3713185
country link,BTO,HLP,2015,176,3458589
rajawali,BTO,DPS,2017,139,2690864
water asia,KNO,PDG,2015,178,3499676
water asia,BDO,PDG,2015,178,3499793
mataram,PKU,UPG,2017,81,1478290
water asia,BTO,UPG,2017,129,2479825
water asia,CGK,PDG,2014,69,1211583
macan,CGK,HLP,2014,187,3693853
water asia,BTO,HLP,2016,127,2440327
country link,BTO,BTH,2016,113,2136400
rajawali,PKU,BTH,2015,85,1563707
country link,CGK,DPS,2015,85,1556069
macan,CGK,BTH,2016,138,2115506
rajawali,CGK,PDG,2017,79,1428880
mataram,BTO,UPG,2017,94,1745933
country link,PKU,BTH,2017,113,2120390
water asia,PKU,UPG,2016,67,1177154
rajawali,PKU,DPS,2015,119,2259409
macan,CGK,UPG,2014,103,1928672
water asia,PKU,DPS,2016,69,1222745
rajawali,PKU,PDG,2015,182,3581322
country link,CGK,BTH,2014,91,1689198
rajawali,CGK,HLP,2017,195,3881193
water asia,CGK,SRG,2015,109,2052725
macan,JOG,PDG,2017,116,2198576
mataram,JOG,BTH,2014,171,3365134
mataram,CGK,BTH,2016,105,1961816
water asia,PKU,UPG,2014,65,1126459
macan,JOG,HLP,2016,134,2572284
water asia,BDO,HLP,2015,184,3629806
rajawali,BDO,DPS,2015,176,3451346
rajawali,JOG,UPG,2014,69,1208240
country link,BTO,UPG,2016,64,1117771
country link,PKU,HLP,2014,178,3493958
mataram,BTO,PDG,2014,63,1061473
rajawali,BTO,HLP,2014,134,2571444
mataram,PKU,UPG,2016,98,1828937
country link,KNO,SRG,2017,153,2970996
mataram,BDO,PDG,2014,161,3138614
rajawali,BTO,SRG,2017,92,1690573
mataram,BTO,HLP,2014,97,1817184
macan,JOG,SRG,2014,73,1307833
water asia,CGK,SRG,2016,61,1027540
water asia,KNO,HLP,2015,142,2732739
macan,KNO,BTH,2014,75,1360897
water asia,KNO,PDG,2017,166,3252086
water asia,JOG,BTH,2014,163,3189483
country link,BDO,HLP,2017,171,3369264
rajawali,PKU,UPG,2014,137,2641294
mataram,JOG,PDG,2015,175,3431969
water asia,BTO,PDG,2015,133,2550351
water asia,KNO,DPS,2015,192,3814092
country link,PKU,HLP,2014,95,1761987
rajawali,PKU,SRG,2015,106,1991563
water asia,PKU,UPG,2017,192,3816479
country link,KNO,PDG,2014,163,3168871
water asia,BTO,UPG,2016,113,2121414
water asia,CGK,DPS,2016,74,1341948
country link,BTO,DPS,2017,151,3662342
